cascade_id,source_error_id,transcript_source,model,claim_in_summary,original_in_transcript,cascade_type,severity,notes
C17,E16,gemini,gemini,"""measuring a model's core capability (e.g., how well it writes code)""",creative writing,error_amplified,critical,"Gemini's summary of the Gemini transcript CHANGES ""creative writing"" to ""code"" as the example — even though the Gemini transcript correctly says ""creative writing"". The model introduced a substitution error that was NOT in its source transcript."
C18,E16,gemini,openai_4o,"""creative process that involves developing criteria""",creative writing,error_avoided,minor,"GPT-4o references ""creative"" in the context of eval design process but does not name the specific domain example."
C19,E16,gemini,openai,"""eval design is creative, not just technical""",creative writing,error_avoided,minor,GPT-5.4 discusses creativity of eval design but does not quote the specific example domain.
C20,E16,reduct,claude,(refers generically to eval design),curve writing,error_avoided,moderate,"Claude's summary of Reduct does not reproduce ""curve writing"" — it avoids the garbled term entirely by generalizing."
C21,E16,reduct,gemini,"""measure complex, subjective tasks (like creative writing)""",curve writing,error_corrected,critical,"Gemini CORRECTS Reduct's ""curve writing"" to ""creative writing"" in its summary. The model recognized the transcription error and fixed it."
C22,E16,reduct,openai,"""Good evals require deciding what success means""",curve writing,error_avoided,moderate,GPT-5.4 avoids the garbled term by not naming the specific domain.
C23,E16,reduct,openai_4o,"""creative processes that require understanding the specific tasks (e.g., curve writing, chatbot performance)""",curve writing,error_passed_through,critical,"GPT-4o PASSES THROUGH the Reduct error ""curve writing"" directly into its summary, treating it as a legitimate term. The nonsense term is presented as a real example alongside ""chatbot performance""."
C24,E16,rev,claude,She resists the idea of a fixed number,code writing,error_avoided,minor,Claude's Lenny summary does not quote the specific domain example at all.
C25,E16,rev,gemini,"""measuring a model's core capability (e.g., how well it writes code)""",code writing,error_passed_through,moderate,"Gemini's Lenny summary uses ""how well it writes code"" — this passes through the Lenny transcript's ""code writing"" error. Notably, Gemini made the same substitution when summarizing the Gemini transcript (C17), suggesting a model-level bias toward ""code"" as the example."
C26,E16,rev,openai,"""defining how to measure a capability itself, like coding quality""",code writing,error_passed_through,moderate,"GPT-5.4 passes through Lenny's ""code writing"" as ""coding quality"". The error is slightly transformed but the wrong domain is preserved."
C27,E16,rev,openai_4o,"""(no specific domain example named)""",code writing,error_avoided,minor,GPT-4o's Lenny summary does not name the specific domain.
C28,E37,reduct,claude,Without clear metrics and visibility into how a model is performing,you have good feasibility to hassle applications and models are performing,error_corrected,critical,"Claude CORRECTS Reduct's severe garble (""feasibility to hassle"") back to sensible language (""metrics and visibility""). The model recognized this was nonsense and reconstructed the likely intended meaning."
C29,E37,reduct,gemini,(no direct reference to this passage),you have good feasibility to hassle applications and models are performing,error_avoided,moderate,Gemini's Reduct summary avoids quoting this garbled passage.
C30,E37,reduct,openai,"""Without clear metrics, teams may not understand failure modes""",you have good feasibility to hassle applications and models are performing,error_corrected,moderate,GPT-5.4 also corrects the garble to sensible language about metrics and understanding.
C31,E37,reduct,openai_4o,"""companies risk poor visibility into model performance""",you have good feasibility to hassle applications and models are performing,error_corrected,moderate,"GPT-4o also corrects ""feasibility to hassle"" to ""visibility into model performance"". Three of four models correct this severe error."
C32,E43,reduct,claude,(summary treats it as single speaker: Chip Huyen),Speaker 2 / Speaker 3 / Speaker 4 split across 4 labels,error_corrected,moderate,"Claude's Reduct summary correctly treats the content as a single coherent argument from one speaker, despite the transcript fragmenting it across Speaker 2 and Speaker 3."
C33,E43,reduct,gemini,(summary treats it as single speaker: Chip Huyen),Speaker 2 / Speaker 3 / Speaker 4 split across 4 labels,error_corrected,moderate,Gemini also correctly reunifies the fragmented speaker labels into a single coherent argument.
C34,E43,reduct,openai,(summary treats it as single speaker),Speaker 2 / Speaker 3 / Speaker 4 split across 4 labels,error_corrected,moderate,GPT-5.4 also correctly reunifies speakers.
C35,E43,reduct,openai_4o,(summary treats it as single speaker),Speaker 2 / Speaker 3 / Speaker 4 split across 4 labels,error_corrected,moderate,GPT-4o also correctly reunifies speakers. All four models handle the Reduct speaker-split correctly.
C36,E19,reduct,claude,"(no reference to ""in a quiz"")","in a quiz, I think eval is really, really fun",error_avoided,minor,Claude skips this garbled phrase.
C37,E19,reduct,gemini,"(no reference to ""in a quiz"")","in a quiz, I think eval is really, really fun",error_avoided,minor,Gemini skips this garbled phrase.
C38,E19,reduct,openai,"(no reference to ""in a quiz"")","in a quiz, I think eval is really, really fun",error_avoided,minor,GPT-5.4 skips it.
C39,E19,reduct,openai_4o,"(no reference to ""in a quiz"")","in a quiz, I think eval is really, really fun",error_avoided,minor,"GPT-4o skips it. All models avoid the ""in a quiz"" garble."
C40,E24,rev,claude,"""She pushes back against both the 'evals are essential for everything' camp and the 'just vibe check it' camp""","You don't have to be absolutely perfect, I think, to win",hedging_to_assertion,moderate,"Chip's hedged statement (""I think"") becomes a confident characterization of her pushing back against two camps. The summary frames her as more decisive than the transcript warrants."
C41,E24,rev,gemini,"""She argues it comes down to Return on Investment (ROI)""","You don't have to be absolutely perfect, I think, to win",hedging_to_assertion,moderate,Gemini converts Chip's tentative framing into a definitive argument about ROI. The transcript shows her exploring the idea; the summary presents it as a firm thesis.
C42,E24,rev,openai,"""You do not need perfect evals to win""","You don't have to be absolutely perfect, I think, to win",hedging_to_assertion,minor,"GPT-5.4 removes the ""I think"" hedge and converts to a declarative section header."
C43,E24,rev,openai_4o,(no direct reference to this specific phrasing),"You don't have to be absolutely perfect, I think, to win",error_avoided,minor,GPT-4o does not quote or reference this specific line.
C44,E24,gemini,claude,"""she's seen it play out successfully in practice""",Okay this is not the philosophy I follow but like I have worked with enough companies to see that play out,hedging_to_assertion,moderate,"Chip's careful framing (""this is not the philosophy I follow"") is rendered as having ""seen it play out successfully"" — adding ""successfully"" and dropping her personal disclaimer."
C45,E24,gemini,gemini,"""This is often a practical business decision based on Return on Investment (ROI)""",Okay this is not the philosophy I follow but like I have worked with enough companies to see that play out,hedging_to_assertion,moderate,Gemini converts an observation-with-disclaimer into a definitive business principle.
C46,E24,gemini,openai,"""One of the most pragmatic arguments""",Okay this is not the philosophy I follow but like I have worked with enough companies to see that play out,hedging_to_assertion,minor,"GPT-5.4 labels it ""pragmatic"" and drops the personal disclaimer."
C47,E24,gemini,openai_4o,"""Companies with limited resources may opt to focus on launching new features""",Okay this is not the philosophy I follow but like I have worked with enough companies to see that play out,hedging_to_assertion,minor,GPT-4o generalizes to an impersonal claim about companies.
C48,none,gemini,claude,"""evals can surface unexpected opportunities — cases where performance is poor on a specific user segment, revealing not a model problem but a messaging or design problem""",(not present in Gemini transcript 5-min clip),argument_invented,critical,"The Gemini transcript of the 5-min clip contains no mention of user segments, messaging problems, or design problems. This content comes from the longer Lenny podcast (around 28:00) which is outside the clip. Claude appears to have knowledge beyond the Gemini transcript or is inferring from general understanding."
C49,none,rev,claude,"""She uses deep research as an example — a single end-to-end metric is insufficient. You need to evaluate each stage""","(deep research discussion starts at ~28:41 in Lenny, outside the 22:00-27:00 window but present in the full Lenny transcript)",error_amplified,moderate,"Claude's summary of the Lenny transcript pulls from content beyond the evals segment (the deep research example at 28:41+). If the summary was supposed to cover only the 5-min clip equivalent, this is scope creep; if it was given the full transcript, this is accurate."
C50,none,rev,gemini,"""Multi-Step Processes Require Multi-Step Evals: For complex AI tasks like 'deep research'""","(deep research at 28:41+, outside 5-min clip window)",error_amplified,moderate,Same scope issue as C49 — Gemini's Lenny summary includes deep research content from beyond the 5-min clip.
C51,none,rev,openai,"""End-to-end evaluation is not enough""",(deep research at 28:41+),error_amplified,moderate,"GPT-5.4 also pulls from the extended Lenny transcript. All Lenny-based summaries include content from well beyond the 5-min clip, making them broader than Gemini/Reduct-based summaries."
C52,none,rev,openai_4o,"""Customized evals: The best evals are tailored to specific use cases""",(draws from extended transcript),error_amplified,minor,GPT-4o also synthesizes beyond the 5-min window.
C53,none,gemini,gemini,"""There is No 'Magic Number' for Evals: While some experts suggest having just 5 to 7 core evals, Chip argues the number depends entirely on the product""",(not in Gemini 5-min transcript),argument_invented,critical,The Gemini transcript does not contain the 5-7 evals discussion or the hundreds-of-metrics point. Gemini's summary introduces content not present in its source transcript.
C54,none,gemini,gemini,"""She has seen products with hundreds of evals""",(not in Gemini 5-min transcript),argument_invented,critical,"Continuation of C53. The ""hundreds of evals"" claim appears nowhere in the Gemini 5-min transcript. Gemini appears to have pulled from outside knowledge or hallucinated details."
C55,none,gemini,claude,"""Rather than asking 'how many evals do I need,' she reframes it""",(not in Gemini 5-min transcript),argument_invented,moderate,"Claude's summary of the Gemini transcript also includes the reframing argument about number of evals, which is not in the 5-min Gemini transcript. May be drawing from broader knowledge."
C56,none,gemini,openai,"""Good evals are hard because 'quality' is often ambiguous""",(this framing is not in the 5-min Gemini transcript),argument_invented,moderate,GPT-5.4's summary includes claims about quality ambiguity that go beyond what's in the Gemini transcript clip.
C57,none,gemini,openai_4o,"""Evaluations should not aim for perfection but rather provide actionable insights""",(not a direct claim in Gemini transcript),argument_invented,minor,GPT-4o introduces advisory framing not present in the source transcript.
C58,none,reduct,gemini,"""When a company needs to catch unpredictable, 'dumb,' or risky behavior before it reaches users""","it might do something very dumb or it can cause you like, I don't know, something that crazy can happen",error_passed_through,minor,"Gemini passes through the ""dumb"" characterization but elevates it to a formal category of failure. The casual aside becomes a named risk type."
C59,none,reduct,openai,"""Systems can behave unpredictably or make serious mistakes""",it might do something very dumb,hedging_to_assertion,minor,"GPT-5.4 converts the casual ""very dumb"" to formal ""serious mistakes"" — a register shift that adds gravity."
C60,none,rev,claude,"""evals are a force that's bringing previously siloed teams closer together""",(not in the 22:00-27:00 segment of Lenny transcript),argument_invented,moderate,The organizational impact point appears later in the podcast (~58:44 according to Gemini's summary reasoning notes). Claude includes it in a summary ostensibly of the evals discussion.
C61,E14,gemini,claude,"(no mention of ""I want to know"" vs ""I want you to know"")",I want to know if this chatbot is good or bad,error_avoided,minor,Claude does not quote this phrase from the Gemini transcript.
C62,E14,reduct,claude,(no mention of this phrase),I want you to know if chatbot is good or bad,error_avoided,minor,Claude avoids reproducing the pronoun ambiguity.
C63,E14,rev,openai,"""figuring out whether an AI feature like a chatbot is actually good for your users""",I want you to know if chatbot is good or bad,error_corrected,minor,"GPT-5.4 rephrases entirely, sidestepping the pronoun confusion."
C64,E15,rev,gemini,"""evaluating a specific application (like a chatbot)""",So it needs to come away with evaluate the chatbot,error_corrected,minor,"Gemini corrects Lenny's garbled ""come away with evaluate"" to clean language."
C65,E15,rev,openai,"""Evaluating a customer-facing AI product is different from designing a benchmark""",So it needs to come away with evaluate the chatbot,error_corrected,minor,GPT-5.4 also corrects the garble.
C66,none,all_transcripts,all_models,"""evals are essential when failures could have catastrophic consequences""",failures can have like catastrophic consequences,hedging_lost,minor,"All 12 summaries drop the hedging ""like"" and ""can have"" framing, converting to definitive ""could have"" or ""when failures have catastrophic consequences"". The original is more tentative."
C67,none,gemini,claude,"""She acknowledges this is not her personal philosophy""",Okay this is not the philosophy I follow,error_passed_through,minor,Claude accurately preserves the disclaimer — one of the few models to do so.
C68,none,gemini,gemini,"""(disclaimer about not following this philosophy not mentioned)""",Okay this is not the philosophy I follow,argument_dropped,moderate,Gemini's Gemini summary drops Chip's personal disclaimer entirely. The reader has no indication that Chip distances herself from the vibes approach.
C69,none,gemini,openai,"""(disclaimer not mentioned)""",Okay this is not the philosophy I follow,argument_dropped,moderate,GPT-5.4's Gemini summary also drops the disclaimer.
C70,none,gemini,openai_4o,"""(disclaimer not mentioned)""",Okay this is not the philosophy I follow,argument_dropped,moderate,GPT-4o's Gemini summary also drops it.
C71,none,reduct,claude,"""(disclaimer mentioned: 'This is not the philosophy I follow')""",This is not the philosophy I follow,error_passed_through,minor,Claude preserves the disclaimer in the Reduct summary.
C72,none,reduct,gemini,"""(disclaimer not mentioned)""",This is not the philosophy I follow,argument_dropped,moderate,Gemini drops the disclaimer from the Reduct summary.
C73,none,reduct,openai,"""(disclaimer not mentioned)""",This is not the philosophy I follow,argument_dropped,moderate,GPT-5.4 drops it.
C74,none,reduct,openai_4o,"""(disclaimer not mentioned)""",This is not the philosophy I follow,argument_dropped,moderate,GPT-4o drops it.
C75,none,rev,claude,"""She acknowledges this is not her personal philosophy but says she's seen it play out successfully in practice""","Okay, this is not a philosophy I follow, but I have worked with enough companies to see that play out",hedging_to_assertion,minor,"Claude adds ""successfully"" which is not in the transcript. The original says ""play out"" (neutral) not ""play out successfully"" (positive)."
C76,none,rev,gemini,"""(disclaimer mentioned indirectly)""",this is not a philosophy I follow,error_passed_through,minor,Gemini captures the disclaimer.
C77,none,rev,openai,"""(disclaimer preserved: 'Chip's view' framing)""",this is not a philosophy I follow,error_passed_through,minor,"GPT-5.4 captures it via ""Chip's view"" framing."
C78,none,rev,openai_4o,"""(disclaimer not mentioned)""",this is not a philosophy I follow,argument_dropped,moderate,GPT-4o drops the disclaimer.
C79,none,all_transcripts,all_models,All summaries present Chip's argument as structured and thesis-driven,"The transcript shows Chip speaking conversationally with many false starts, hedges, and self-corrections",stance_shifted,moderate,"All 12 summaries convert Chip's exploratory, conversational, hedge-laden speaking style into structured analytical arguments. The effect is to make her sound more authoritative and certain than the transcripts suggest."
C80,none,gemini,openai,"""evaluation must reflect what users actually care about""",(no explicit user-centricity claim in 5-min Gemini transcript),argument_invented,moderate,"GPT-5.4 introduces a strong user-centricity frame (""reflect what users actually care about"") that the Gemini transcript does not contain. The transcript mentions customers being happy as a business metric, not as an evaluation design principle."
C81,none,reduct,openai,"""the real purpose of evals is to help teams build better products, not just produce scores""",(not in Reduct transcript),argument_invented,minor,GPT-5.4 adds an editorial conclusion not present in the Reduct source.
C82,none,rev,openai_4o,"""Over-reliance on metrics: While evals are useful, they are not always comprehensive and may fail to capture the full user experience""",(not stated in 22:00-27:00 Lenny segment),argument_invented,moderate,GPT-4o introduces a caution about over-reliance on metrics that Chip does not express in the source segment.
C83,E26,rev,gemini,"""Chip argues it comes down to Return on Investment (ROI)""","So when I say, why a company don't eval",hedging_to_assertion,moderate,"Chip's framing is ""when I say"" (explaining a perspective she has encountered). Gemini converts this to ""Chip argues"" — attributing the ROI stance more firmly to Chip than the transcript warrants."
C84,E26,reduct,gemini,"""This is often a practical business decision based on Return on Investment (ROI)""",So when I say that why companies don't need eval,hedging_to_assertion,moderate,Same pattern: Gemini elevates Chip's rhetorical device (explaining others' reasoning) into her own argument.
C85,none,rev,openai,"""If you want, I can also turn this into: a bullet summary for executives...""",(not in transcript — this is model self-promotion),argument_invented,minor,"GPT-5.4 ends its summary with an offer to reformat, which is model behavior, not content from the transcript. Minor but notable as a synthesis artifact."
