divergence_id,episode,source_type,output_type,divergence_type,severity,exact_quote,comparison_quote,notes
32,aishwarya_kiriti,youtube_video,summary,claim_present_one_source_only,moderate,"cultivating technical flywheels, high-quality evaluative loops",[not present in transcript summary],Video summary mentions 'technical flywheels' and 'evaluative loops' as distinct concepts. Transcript summary does not use these terms.
33,aishwarya_kiriti,rev_transcript,summary,claim_present_one_source_only,moderate,reliability is earned through iterative development,[not present in video summary with this framing],Transcript summary uses the phrase 'reliability is earned' which adds an ethical/trust dimension not in video summary.
34,aishwarya_kiriti,youtube_video,summary,specificity_gain,moderate,"step-by-step deployment strategy that begins with high human oversight and low autonomy, gradually increasing an agent's decision-making power",starting with low-autonomy systems to build a reliable feedback loop before graduating to fully autonomous agents,Video summary provides more operational detail about the deployment strategy's progression.
35,aishwarya_kiriti,rev_transcript,summary,framing_divergence,moderate,"leadership in this era requires hands-on technical intuition and the persistence to endure the 'pain' of learning, which they describe as a modern competitive moat",a leadership culture willing to rebuild its intuition through hands-on experimentation,"Both reference leadership and hands-on learning, but transcript summary adds the 'pain' metaphor and 'competitive moat' framing that video summary lacks."
36,aishwarya_kiriti,rev_transcript,summary,vocabulary_import,minor,competitive moat,[not present in video summary],'Competitive moat' is business strategy jargon that may be imported by the NLM rather than transcribed from source.
37,aishwarya_kiriti,youtube_video,summary,claim_present_one_source_only,minor,long-term success in the AI era depends less on being the first to market,[not present in transcript summary],Video summary includes a first-mover-disadvantage claim not present in transcript summary.
38,aishwarya_kiriti,youtube_video,summary,framing_divergence,minor,contrasting them with traditional software through the lens of non-determinism,noting that traditional software playbooks are often insufficient due to non-determinism,Video summary uses 'contrasting through the lens of'; transcript uses 'noting that playbooks are insufficient'. Different editorial framings of similar content.
39,aishwarya_kiriti,youtube_video,analysis,proper_noun_garbled,critical,[check if names appear in analysis],[check if names appear in analysis],Video analysis does not name the speakers in the extracted text; transcript analysis also does not. Names only garbled in summary.
40,aishwarya_kiriti,youtube_video,analysis,theme_substitution,moderate,Theme 1: The Unique Nature of AI Software (Non-Determinism and Agency vs. Control),Theme 1: The Non-Deterministic Nature of AI Products,"Video analysis bundles non-determinism AND agency-control into Theme 1; transcript analysis separates them — non-determinism alone is Theme 1, agency-control is Theme 2."
41,aishwarya_kiriti,rev_transcript,analysis,theme_substitution,moderate,Theme 2: The Agency vs. Control Trade-Off,[video analysis subsumes this under Theme 1],Transcript analysis treats agency-control as a standalone theme; video analysis folds it into Theme 1 alongside non-determinism.
42,aishwarya_kiriti,youtube_video,analysis,theme_substitution,moderate,Theme 2: Step-by-Step Autonomous Scaling (Continuous Calibration),[transcript analysis places continuous calibration under Theme 1 recommendation],Video analysis makes autonomous scaling its own theme; transcript analysis folds calibration into the recommendation for Theme 1.
43,aishwarya_kiriti,youtube_video,analysis,framing_divergence,moderate,Theme 3: Holistic Testing and a 'Problem-First' Focus,Theme 3: Adopting a Problem-First Mindset Over Technology Obsession,Both have problem-first as Theme 3 but video bundles it with 'holistic testing'; transcript focuses purely on problem-first mindset vs. technology obsession.
44,aishwarya_kiriti,youtube_video,analysis,claim_present_one_source_only,moderate,"the industry is currently locked in a false dichotomy regarding testing, pitting 'evals' (evaluation datasets) against production monitoring",[not present in transcript analysis],Video analysis introduces a testing false-dichotomy claim absent from transcript analysis. May be present in source or may be NLM interpolation.
45,aishwarya_kiriti,rev_transcript,analysis,claim_present_one_source_only,moderate,true value comes from a deep understanding of messy enterprise data and real-world workflows,[not present in video analysis],Transcript analysis includes enterprise data/workflow claim not present in video analysis.
46,aishwarya_kiriti,youtube_video,analysis,claim_present_one_source_only,moderate,combine strict pre-deployment evaluation datasets with continuous live monitoring to catch both known errors and emerging user behaviors,[not present in transcript analysis],Video analysis recommends combining pre-deployment evals with live monitoring — a specific operational claim absent from transcript.
47,aishwarya_kiriti,rev_transcript,analysis,claim_present_one_source_only,moderate,Deeply understand and map out your customers' end-to-end workflows and data first,[not present in video analysis],Transcript analysis recommends workflow mapping as primary action; video analysis recommends testing combination instead.
48,aishwarya_kiriti,youtube_video,analysis,specificity_gain,moderate,'easy slippery slope' for developers to get obsessed with complex AI solutions,builders easily slip into obsessing over the complexities of the technology,Video analysis quotes 'easy slippery slope' suggesting closer proximity to source language; transcript paraphrases.
49,aishwarya_kiriti,rev_transcript,analysis,specificity_gain,moderate,forcing the use of complex multi-agent systems,[video analysis does not name multi-agent systems specifically],Transcript analysis names 'multi-agent systems' as a specific example of technology obsession; video analysis keeps it generic.
50,aishwarya_kiriti,rev_transcript,analysis,claim_present_one_source_only,minor,"implement a continuous calibration and development framework to actively monitor production data, quickly catch unpredictable behaviors, and build flywheels for continuous improvement","[video analysis places this under Theme 2, not Theme 1]","Same content appears in different structural positions between the two analyses, changing the implied priority."
51,aishwarya_kiriti,youtube_video,analysis,confidence_without_hedging,minor,"developers must move away from rigid, one-click solutions",[transcript analysis does not use 'must'],Video analysis uses imperative 'must move away' without hedging on whether this is the speakers' opinion or established fact.
52,aishwarya_kiriti,youtube_video,analysis,structural_masking,moderate,[three-theme format with recommendations and citations],[three-theme format with recommendations and citations],"Despite different theme boundaries and different content selections, both outputs use identical structural formatting, hiding the divergence."
53,aishwarya_kiriti,rev_transcript,analysis,framing_divergence,moderate,"Companies often fall into the trap of trying to build fully autonomous agents from day one, which can lead to severe reliability issues, loss of customer trust, and dangerous errors","developers attempt to build fully autonomous agents on day one, leading to massive complexities and continuous 'hot fixes'",Same point framed differently: transcript emphasizes trust/danger consequences; video emphasizes complexity/hot-fix consequences.
54,hamel_shreya,youtube_video,summary,framing_divergence,moderate,industry experts Hamel Husain and Shreya Shankar define evals as a systematic framework,product expert Lenny Rachitsky hosts Hamel Husain and Shreya Shankar to demystify the emerging discipline of evals,Video summary calls H&S 'industry experts' defining evals; transcript summary foregrounds Lenny as host and frames evals as an 'emerging discipline' to be 'demystified'.
55,hamel_shreya,rev_transcript,summary,claim_present_one_source_only,minor,product expert Lenny Rachitsky hosts,[video summary does not mention Lenny],Transcript summary names Lenny Rachitsky as host; video summary omits him entirely.
56,hamel_shreya,youtube_video,summary,claim_present_one_source_only,moderate,data-driven metrics,[not present in transcript summary],Video summary characterizes evals as involving 'data-driven metrics'; transcript summary does not use this term.
57,hamel_shreya,rev_transcript,summary,vocabulary_import,minor,high-ROI data analytics for LLMs,[not present in video summary],Transcript summary frames evals as 'high-ROI data analytics for LLMs' — this precise formulation may be NLM-generated rather than sourced.
58,hamel_shreya,youtube_video,summary,framing_divergence,moderate,transition from manual reviews to LLM-as-a-judge evaluators,"evals function as living PRDs, utilizing LLM-as-a-judge prompts",Video summary frames the key narrative as a transition from manual to automated; transcript summary frames it as evals functioning as living PRDs. Different organizing metaphors.
59,hamel_shreya,rev_transcript,summary,vocabulary_import,moderate,living PRDs,[not present in video summary],'Living PRDs' (product requirements documents) is product management jargon that may be NLM-imported or may reflect transcript source more closely.
60,hamel_shreya,youtube_video,summary,claim_present_one_source_only,moderate,"binary scores to provide scalable, automated feedback on complex product behaviors",[transcript summary does not mention binary scores],Video summary specifies 'binary scores' as the mechanism; transcript summary omits this technical detail.
61,hamel_shreya,rev_transcript,summary,claim_present_one_source_only,moderate,continuous feedback loop that ensures AI products align with user expectations and business goals,[not present in video summary],Transcript summary ends with alignment to 'user expectations and business goals'; video summary does not include this claim.
62,hamel_shreya,youtube_video,summary,theme_present_one_source_only,moderate,advocating for the role of a benevolent dictator with domain expertise,a domain expert—the 'benevolent dictator'—manually reviews traces to uncover jankiness and hallucinations,"Both mention 'benevolent dictator' but video frames it as advocacy for a role, while transcript frames it as part of the open-coding workflow."
63,hamel_shreya,rev_transcript,summary,specificity_gain,minor,uncover jankiness and hallucinations that automated tools often miss,[video summary says 'bridge the gap between experimental prototypes and reliable production systems'],"Transcript summary names specific failure types (jankiness, hallucinations); video summary uses abstract language about bridging gaps."
64,hamel_shreya,youtube_video,summary,specificity_loss,minor,bridge the gap between experimental prototypes and reliable production systems,uncover jankiness and hallucinations that automated tools often miss,Video summary replaces concrete failure types with abstract gap-bridging language.
65,hamel_shreya,youtube_video,summary,claim_present_one_source_only,minor,mastering evals is the highest ROI activity for product builders,[transcript summary does not make this ROI claim explicitly],Video summary includes a superlative claim ('highest ROI activity') not present in transcript summary.
66,hamel_shreya,rev_transcript,summary,framing_divergence,minor,demystify the emerging discipline of evals,define evals as a systematic framework,Transcript summary treats evals as needing demystification (implies novelty/confusion); video summary treats evals as something being defined (implies authority).
67,hamel_shreya,youtube_video,analysis,theme_substitution,moderate,Theme 1: The Necessity of Manual Error Analysis,Theme 1: Grounding Evals in Real Data and Error Analysis,Video analysis Theme 1 emphasizes manual process; transcript analysis Theme 1 emphasizes grounding in real data. Overlapping but different emphasis.
68,hamel_shreya,youtube_video,analysis,specificity_loss,moderate,Always start your evaluation process by manually reviewing a sample of your AI application's interaction logs,Systematically manually review and categorize real user logs to identify the most prevalent failure modes before writing any automated evaluation tests,Video analysis recommendation is shorter and less specific than the transcript version.
69,hamel_shreya,rev_transcript,analysis,specificity_gain,moderate,identify the most prevalent failure modes before writing any automated evaluation tests,uncover actual failure modes before attempting to write any automated tests,Transcript analysis adds 'most prevalent' — a prioritization instruction absent from video analysis.
70,hamel_shreya,youtube_video,analysis,theme_substitution,moderate,Theme 2: Categorizing and Prioritizing Failures,Theme 2: Deploying LLMs as Automated Judges,Video analysis Theme 2 is about categorization/prioritization; transcript analysis Theme 2 jumps to LLM-as-judge. Entirely different content in the same structural position.
71,hamel_shreya,youtube_video,analysis,claim_present_one_source_only,critical,Group your initial observations of errors into broader failure categories (axial codes) so you can count their frequency and prioritize which issues are most critical to fix,[not present in transcript analysis as a standalone theme],Video analysis devotes an entire theme to axial coding and frequency counting. Transcript analysis folds categorization into Theme 1 and skips to LLM judges.
72,hamel_shreya,rev_transcript,analysis,claim_present_one_source_only,moderate,test the LLM judge's performance against your own manual reviews to ensure it actually aligns with human expectations,[video analysis Theme 3 mentions this but transcript places it in Theme 2],Same content appears in different thematic positions between analyses.
73,hamel_shreya,youtube_video,analysis,theme_substitution,critical,Theme 3: Deploying Targeted 'LLM as a Judge' Evaluators,Theme 3: The Crucial Role of Human Domain Experts,"Video analysis Theme 3 is about LLM judges (transcript's Theme 2); transcript analysis Theme 3 is about human domain experts. Different conclusions drawn as the final, synthesizing theme."
74,hamel_shreya,rev_transcript,analysis,theme_present_one_source_only,critical,The Crucial Role of Human Domain Experts,[not present as a theme in video analysis],Transcript analysis elevates human expertise to a standalone theme. Video analysis never foregrounds this as a primary theme.
75,hamel_shreya,rev_transcript,analysis,claim_present_one_source_only,critical,"Appoint a 'benevolent dictator'—such as a product manager or specific domain expert—to manually review traces, cut through organizational noise, and define the qualitative standards",[not present as a recommendation in video analysis],Transcript analysis recommends appointing a benevolent dictator as a primary action. Video analysis does not include this recommendation.
76,hamel_shreya,youtube_video,analysis,claim_present_one_source_only,moderate,rigorously verify that their outputs align with human judgment before relying on them,[transcript places alignment verification under Theme 2],"Video analysis puts alignment verification in Theme 3 recommendation; transcript puts it in Theme 2. Same claim, different structural priority."
77,hamel_shreya,rev_transcript,analysis,claim_present_one_source_only,moderate,"human context is fundamentally required to accurately identify 'bad product smells,' correct hallucinations, and establish the standard for quality",[not present in video analysis],Transcript analysis includes 'bad product smells' and explicit hallucination-correction claims absent from video analysis.
78,hamel_shreya,rev_transcript,analysis,vocabulary_import,minor,bad product smells,[not present in video analysis],'Bad product smells' may be sourced from the episode or may be NLM-imported jargon from software engineering ('code smells').
79,hamel_shreya,rev_transcript,analysis,claim_present_one_source_only,minor,"Rather than relying on a slow committee, organizations benefit from having a single trusted expert manage this process",[not present in video analysis],Anti-committee claim appears only in transcript analysis. May reflect source content or NLM interpolation.
80,hamel_shreya,youtube_video,analysis,structural_masking,moderate,[three-theme format with recommendations and citations],[three-theme format with recommendations and citations],"Despite selecting different themes for positions 2 and 3, both outputs use identical formatting, concealing the divergence."
81,hamel_shreya,rev_transcript,analysis,framing_divergence,minor,"Despite the advanced capabilities of AI, human context is fundamentally required",[video analysis does not frame human role as counterpoint to AI capabilities],Transcript analysis sets up a human-vs-AI-capability tension; video analysis does not frame it this way.
82,chip,youtube_video,analysis,agentic_opacity,critical,[Theme 2 differs entirely between sources but both present with equal confidence],[Theme 2 differs entirely between sources but both present with equal confidence],"If a pipeline ran video-source and transcript-source analyses as separate steps and compared outputs, the Theme 2 divergence in the Chip episode would be immediately flagged. Without that separation, the divergence is invisible."
83,aishwarya_kiriti,youtube_video,analysis,agentic_opacity,moderate,[Theme boundaries differ between sources — 2 themes in video = 2 different themes in transcript],[Theme boundaries differ between sources],The decision to bundle or separate non-determinism and agency-control into themes is an analytical choice made silently by the NLM. No pipeline step surfaces this choice for review.
84,hamel_shreya,youtube_video,analysis,agentic_opacity,critical,[Themes 2 and 3 are swapped/replaced between sources],[Themes 2 and 3 are swapped/replaced between sources],"Both the Hamel/Shreya analyses present three confident themes, but the actual theme selection differs at positions 2 and 3. A separated pipeline would flag the mismatch; the monolithic output does not."
85,chip,youtube_video,summary,structural_masking,minor,[single-paragraph summary format],[single-paragraph summary format],Both Chip summaries use identical single-paragraph format despite being generated from sources of different reliability (auto-transcribed video vs. edited transcript).
86,aishwarya_kiriti,youtube_video,summary,structural_masking,minor,[single-paragraph summary format],[single-paragraph summary format],Both Aishwarya/Kiriti summaries use identical format despite different source reliability.
87,hamel_shreya,youtube_video,summary,structural_masking,minor,[single-paragraph summary format],[single-paragraph summary format],Both Hamel/Shreya summaries use identical format despite different source reliability.
88,chip,rev_transcript,summary,confidence_without_hedging,minor,Huyen provides a technical masterclass on the mechanics of post-training,[video summary: 'explores the mechanics of RLHF and RAG'],Transcript summary confidently labels the content a 'masterclass' — an evaluative claim presented without hedging.
89,aishwarya_kiriti,rev_transcript,summary,vocabulary_import,minor,the persistence to endure the 'pain' of learning,[video summary: 'willing to rebuild its intuition through hands-on experimentation'],"Transcript summary uses quoted 'pain' suggesting it may be sourced, but the framing around it ('persistence to endure') may be NLM editorial."
90,hamel_shreya,rev_transcript,summary,vocabulary_import,minor,emerging discipline,[not present in video summary],Labeling evals an 'emerging discipline' is a categorization claim that may come from the NLM rather than the source.
91,aishwarya_kiriti,youtube_video,analysis,fabrication_candidate,moderate,"the industry is currently locked in a false dichotomy regarding testing, pitting 'evals' against production monitoring",[not present in transcript analysis],"The 'false dichotomy' framing and the specific claim about evals vs. monitoring being pitted against each other appears only in the video analysis. If this is not in the source material, it is a fabrication."
92,chip,rev_transcript,analysis,fabrication_candidate,moderate,"optimizing chunk sizes, rewriting data into question-answering formats, and adding contextual metadata",[not present in video analysis],These highly specific RAG optimization techniques appear only in transcript analysis. They are plausible claims but their absence from video analysis raises the question of whether they are in the source or imported from NLM training data.
93,hamel_shreya,rev_transcript,analysis,fabrication_candidate,minor,Rather than relying on a slow committee,[not present in video analysis],"The anti-committee framing appears only in transcript analysis. If the source does not contain this contrast, it is fabricated."
94,chip,youtube_video,analysis,claim_present_one_source_only,moderate,areas where failures could have catastrophic consequences,[not present in transcript analysis],Video analysis includes a claim about catastrophic consequences that transcript analysis omits entirely.
95,hamel_shreya,youtube_video,analysis,specificity_gain,minor,"binary 'pass/fail' LLM judges targeted at single, specific failure modes","Design LLM judges to answer tightly scoped, binary (pass/fail) questions about specific errors","Both mention binary pass/fail but video analysis says 'targeted at single, specific failure modes' while transcript says 'tightly scoped questions about specific errors'. Minor framing difference."
96,hamel_shreya,rev_transcript,analysis,claim_present_one_source_only,moderate,Doing basic counting and categorization of these actual errors prevents developers from wasting time on hypothetical problems,[video analysis Theme 2 covers categorization but frames it differently],Transcript analysis includes 'wasting time on hypothetical problems' — a motivational framing absent from video analysis.
97,aishwarya_kiriti,rev_transcript,analysis,specificity_gain,minor,such as forcing the use of complex multi-agent systems,[video analysis keeps the technology obsession claim generic],Transcript analysis provides multi-agent systems as a concrete example; video analysis stays abstract.
98,aishwarya_kiriti,rev_transcript,analysis,claim_present_one_source_only,minor,AI is simply a tool,[not present in video analysis],This reductive framing of AI appears only in transcript analysis.
