error_id,timestamp_approx,manual_audit_ground_truth,gemini_transcript,reduct_transcript,rev_transcript,error_type,severity,notes
E11,00:00:51 / ~22:41,people approach eval,"people approach eval, I think there's like two very different problems","if people approach eval, I think they're like two very different problems","people approach eval, I think they're two very different problems",word_addition,minor,"The phrase ""people approach eval"" is missing a subject or article. Reduct adds ""if"" at start; Lenny drops ""like"" before ""two"". Gemini uses ""there's""; Reduct and Lenny use ""they're"" (likely a transcription of the same sound)."
E12,00:00:58 / ~22:41,"""can I say I have an app that do like maybe a chatbot""","""can I say I have an app that do like maybe a chatbot""","""can I say I have an app that do like maybe a chatbot""","""can I say have an app that do maybe a chatbot""",word_omission,minor,"Lenny drops ""I"" before ""have"" and drops ""like"" before ""maybe"". Minor filler word differences."
E13,00:00:58,"""it's the first thing that came to my mind"" vs ""Very simple"" phrasing","""Very simple, it's the first thing that came to my mind""","""It's very simple. And I was first thing that came to my mind""","""Very simple answer first thing that came to my mind""",word_substitution,minor,"Three different renderings of the same transitional phrase. Reduct adds ""And I was""; Lenny adds ""answer""; Gemini is cleanest."
E14,00:00:58,"""I want to know if this chatbot is good or bad""","""I want to know if this chatbot is good or bad""","""I want you to know if chatbot is good or bad""","""I want you to know if chatbot is good or bad""",word_substitution,moderate,"Gemini: ""I want to know"" (Chip evaluating). Reduct and Lenny: ""I want you to know"" (Chip telling listener). Also Reduct/Lenny drop ""this"" before ""chatbot"". Changes who the knowledge is directed at."
E15,00:00:58,"""So so I need to come up with a way""","""So so I need to come up with a way of like evaluating""","""So it needs to come up with a way to like evaluate""","""So it needs to come away with evaluate""",word_substitution,moderate,"Gemini: ""I need to come up with"" (first person). Reduct/Lenny: ""it needs to come up with"" (third person, referring to the chatbot/system). Lenny also garbles to ""come away with evaluate"" which is nonsensical."
E16,01:13-01:19 / ~23:00,"""creative writing"" vs ""curve writing"" vs ""code writing""","""creative writing"" (3 instances)","""curve writing"" (3 instances)","""code writing"" (3 instances)",technical_term_error,critical,"Three different transcriptions of the same key term. Gemini: ""creative writing"". Reduct: ""curve writing"". Lenny: ""code writing"". Based on context (""what makes a story good""), ""creative writing"" (Gemini) is almost certainly correct. ""Curve writing"" and ""code writing"" are both errors, but ""code writing"" at least refers to a real activity."
E17,01:19 / ~23:19,"""what makes good story or like what makes a story good""","""what makes good story or like what makes a story good""","""what makes good story, like what makes a story good""","""what makes a story good""",word_omission,minor,Lenny collapses the repeated/self-correcting phrase to just the final version. Gemini and Reduct both capture the repetition/self-correction.
E18,01:42 / ~23:39,"""Coming up with criteria, coming up with guidelines""","""Coming up with criteria, coming up with guidelines""","""Come out with criteria, come out with guidelines""","""[inaudible] work criteria, [inaudible] work guidelines""",word_substitution,moderate,"Gemini: ""coming up with"". Reduct: ""come out with"". Lenny: marks as inaudible with ""work"" fragments. The Lenny transcript acknowledges it couldn't parse this passage."
E19,01:57 / ~23:49,[ambiguous — see notes],"""in a way I think eval is really, really fun""","""in a quiz, I think eval is really, really fun""","""[inaudible], I think eval is really, really fun""",word_substitution,moderate,"Audio unresolved. Either ""in a way"" or ""in a quiz"". Gemini: ""in a way"" (makes sense). Reduct: ""in a quiz"" (nonsensical in context). Lenny: marks as inaudible. ""In a way"" is likely correct."
E20,02:04 / ~23:55,"""different evals people built""","""different evals people built and I was like wow""","""different eval and people built and was like wow""","""different eval people built and it was like wow""",disfluency_handling,minor,"Minor variations in filler words and singular/plural of ""eval/evals"". Reduct inserts ""and"" between ""eval"" and ""people""."
E21,02:11 / ~24:01,[ambiguous — see notes],"""We did a whole podcast on evals with Hamel and Shreya""","""We had a whole podcast on evals with Hamel and Shreya""","""We had a whole podcast on evals with Hamel and Shreya""",word_substitution,minor,"Either ""We had a whole podcast"" or ""We did a whole podcast."" Gemini: ""did"". Reduct and Lenny: ""had"". Minor verb difference."
E22,02:22 / ~24:01,"""for companies especially""","""for companies especially""","""for, for companies, especially""","""for companies, especially""",disfluency_handling,minor,"Reduct captures the stutter ""for, for""; Gemini and Lenny smooth it."
E23,02:36 / ~24:39,"""the skill of evals for AI apps""","""the skill of evals for AI apps, not the model companies""","""the skill of evals for app, AI apps, not the model companies""","""the skill of evals for AI apps, not the model companies""",disfluency_handling,minor,"Reduct captures self-correction ""app, AI apps""; Gemini and Lenny smooth to ""AI apps""."
E24,02:48 / ~24:39,"""You don't have to be like absolutely perfect at things to win""","""You don't have to be like absolutely perfect at things to win""","""You don't have to be like absolutely perfect at things to win""","""You don't have to be absolutely perfect, I think, to win""",hedging_changed,moderate,"Lenny drops ""like"" but adds ""I think"" parenthetical. Gemini and Reduct both have ""like"" but no ""I think"". The hedging marker shifts location — ""like"" (informal hedge) in Gemini/Reduct vs. ""I think"" (epistemic hedge) in Lenny."
E25,02:48,"""be like good enough and be consistent""","""be like good enough and be consistent about it""","""be like good enough and being consistent about it""","""be good enough and being consistent about it""",word_substitution,minor,"Gemini: ""be consistent""; Reduct/Lenny: ""being consistent"". Lenny also drops ""like""."
E26,02:48-03:00,[ambiguous — see notes],"""So what I say like why companies don't need eval""","""So when I say that why companies don't need eval""","""So when I say, why a company don't eval""",word_substitution,moderate,"Three candidate readings of the same utterance: ""So what I say like why companies don't need eval"" / ""So when I say"" / ""So when I say, why a company don't eval."" Gemini: ""what I say"" (reporting what she says). Reduct/Lenny: ""when I say"" (temporal framing). Lenny also drops ""need"" before ""eval."""
E27,03:00,[ambiguous — see notes],"""you started out and build""","""you started out with built""","""you started out, built""",word_substitution,minor,"Three candidate readings: ""you started out and build"" / ""you started out with built"" / ""you started out, built."" Three different connecting words: ""and build"" vs ""with built"" vs comma + ""built."" Minor structural differences."
E28,03:12,"""the traffic keeps increasing""","""the traffic keeps increasing, like people seem happy""","""so traffic keeps increasing. Like people seem happy""","""So the traffic keeps increasing, people seem happy""",word_omission,minor,"Minor article/connector differences (""the""/no article, ""so""/no connector)."
E29,03:20,[ambiguous — see notes],"""And now here's your engineer coming""","""And now here's an engineer coming""","""now here's our engineer coming""",word_substitution,minor,"Three candidate readings: ""And now here's your engineer coming"" / ""here's an engineer coming"" / ""here's our engineer coming."" Possessive pronoun differs: ""your"" (Gemini), ""an"" (Reduct — indefinite article), ""our"" (Lenny). Shifts the relationship between the speaker and the engineer being described."
E30,03:20,"""this much and this much""","""this much and this much""","""as much as much""","""this much, this much""",word_substitution,minor,"Reduct hears ""as much as much"" rather than ""this much and this much""."
E31,03:20,"""And they were like okay, maybe like two engineers""","""And they were like okay, maybe like two engineers""","""And they were like, okay, maybe like two engineers""","""And they were like, Okay, maybe two engineers""",disfluency_handling,minor,"Lenny drops ""like"" before ""two"". Minor filler word handling."
E32,03:43,"""And I was like okay, but it's going to take that two engineers and build and launch a new feature""","""it's going to take that two engineers and build and launch a new feature""","""if you're going to take that two engineers and be able to launch a new feature""","""[inaudible] that two engineers and we going to launch a new feature""",word_substitution,moderate,"Three different framings. Gemini: ""it's going to take"" (impersonal). Reduct: ""if you're going to take"" (conditional, directed at executive). Lenny: inaudible + ""we going to"" (first person plural). Also Reduct adds ""be able to"" and drops ""build and""."
E33,03:50-03:53,"""So so I think it's like one of them as they eval sometimes people think of eval as like okay""","""one of them as they eval sometimes people think of eval as""","""one of them is eval. Sometimes people think of eval as""","""one of them is eval. Sometimes people think of eval as""",disfluency_handling,minor,"Gemini runs the sentences together with ""as they""; Reduct and Lenny clean it to a sentence break with ""is eval. Sometimes""."
E34,03:53,"""it would only incremental improvement whereas they spend the energy""","""it would only incremental improvement whereas they spend""","""it would like only incremental improvement where you spend""","""it would only incremental improvement where it spends""",word_substitution,minor,"Pronoun varies: ""they"" (Gemini) vs ""you"" (Reduct) vs ""it"" (Lenny). Reduct adds ""like""; Gemini has ""whereas"" vs ""where"" in Reduct/Lenny."
E35,03:53,"""maybe let's get it to good enough that you can just vibe check it""","""maybe let's get it to good enough that you can just vibe check it""","""maybe it's good enough that you can just vibe check it""","""maybe [inaudible] good enough that you can vibe check it""",word_omission,minor,"Reduct drops ""let's get it to"" simplifying to ""it's"". Lenny marks as inaudible and drops ""just""."
E36,04:06-04:09,[ambiguous — see notes],"""So so I do think like maybe that's the debate is about""","""So I do think it's like, maybe that's what the debate is about""","""So I do think maybe that's a debate is about""",word_substitution,minor,"Either ""So so I do think like maybe that's the debate is about"" or ""maybe that's what the debate is about."" Reduct adds ""what""; Lenny changes ""the"" to ""a."" Gemini preserves disfluent form without ""what."""
E37,04:09,"""you don't have good visibility to how your application and the model is performing""","""you don't have good visibility to how your application and the model is performing""","""you have good feasibility to hassle applications and models are performing""","""you have a good visibility to [inaudible] applications or models performing""",word_substitution,critical,"Reduct produces ""good feasibility to hassle applications"" — a complete garbling of ""good visibility to how [your] application[s]"". ""Feasibility"" for ""visibility"" and ""hassle"" for ""how [your]"" are severe transcription errors that produce nonsense. Lenny marks the middle section as inaudible."
E38,04:34,"""if you operate at scale""","""if you operate at scale""","""if you operate a scale""","""if you operate a scale""",word_omission,minor,"Reduct and Lenny both drop ""at"" before ""scale"". Gemini preserves ""at scale"" (correct idiom)."
E39,04:34,"""you do need to be very tyrannical about like what you put in front of the users""","""you do need to be very tyrannical about like what you put in front of the users""","""you do need to be very tyrannical about like what you put in front of the users""","""you do need to be very tyrannical about what you put in front of the users""",disfluency_handling,minor,"Lenny drops ""like"" before ""what"". Gemini and Reduct preserve it."
E40,04:56,"""maybe in the space when that like is a feature, as a product, as a competitive advantage""","""maybe in the space when that like is a feature, as a product, as a competitive advantage""","""maybe in a space where like, it's a feature, the product is as a competitive advantage""","""maybe in a space when that it's a feature, the product is a competitive advantage""",word_substitution,minor,"All three differ in connector words and structure. Reduct uses ""where"" vs. ""when that"" in Gemini/Lenny. Article varies (""the space"" vs ""a space"")."
E41,04:56-05:01,"""right? You want to be the best at it""","""right? You want to be the best at it""","""Right. You want to be the best at this""","""You want to be the best at it""",word_substitution,minor,"Reduct: ""this"" vs Gemini/Lenny: ""it"". Also Reduct inserts Speaker 4 ""Right"" as separate turn."
E42,05:01,[see notes — segment-end mismatch],Not present,"""But it's just something that's like more like a learning curve""","But it's just something that's more a low-key, okay, this is like something is like, okay, that's not the core but it helps with our users.",word_substitution,moderate,"Final sentence of segment present in Reduct only. Reduct ends with ""learning curve""; Lenny has a longer version about ""low-key"" and ""not the core but helps with users"". Gemini cuts off earlier."
E43,00:00:00-05:01,Speaker labels throughout,Host / Chip Huyen (2 speakers),Speaker 1 / Speaker 2 / Speaker 3 / Speaker 4 (4 speakers),Lenny Rachitsky / Chip Huyen (2 speakers),speaker_misattribution,critical,Reduct identifies 4 distinct speakers when there are only 2 (Lenny and Chip). Speaker 2 and Speaker 3 are both Chip Huyen. Speaker 1 and Speaker 4 appear to both be Lenny. This systematically fragments Chip's arguments across two speaker IDs.
E44,01:13-01:42,"""creative writing"" repeated 3 times in passage","""creative writing"" (consistent)","""curve writing"" (consistent)","""code writing"" (consistent)",technical_term_error,critical,"Each transcript is internally consistent with its own error — Reduct always says ""curve writing"" and Lenny always says ""code writing"". This internal consistency could mislead a reader who sees only one transcript into believing it is the correct term."
E45,02:48,"""Okay this is not the philosophy I follow""","""Okay this is not the philosophy I follow""","""Okay. This is not the philosophy I follow""","""Okay, this is not a philosophy I follow""",word_substitution,minor,"Lenny uses ""a philosophy"" (indefinite) vs Gemini/Reduct ""the philosophy"" (definite). Minor but changes whether she's referring to a specific known philosophy or a general one."
E46,03:00,"""and I was like okay so how much expected gain can I get from it""","""so I was like okay so how much expected gain can I get from it""","""So it was like, okay, so how much expected gain can I get from it""","""and it was like, Okay, so how much expected gain can I get from it""",word_substitution,minor,"Gemini: ""I was like"" (exec speaking). Reduct/Lenny: ""it was like"" (impersonal). Changes whether the exec is directly speaking or the situation is being described."
E47,03:20,And the executive was like okay,"""And the executive was like okay""","No explicit """"executive"""" label — continues as Speaker 3","No explicit """"executive"""" label — continues as Chip speaking",word_omission,minor,Speaker-of-the-hypothetical issue. Gemini makes explicit that Chip is voicing the executive's perspective. Reduct and Lenny don't flag this role-play shift.
E48,00:00:51,So I think that people approach eval,"""So I think that people approach eval, I think there's like two very different problems""","""So I think if people approach eval, I think they're like two very different problems""","""So I think people approach eval, I think they're two very different problems""",word_addition,minor,"Missing preposition or object in the spoken phrase. Reduct adds ""if"" making it conditional; Gemini adds ""that"". Different interpretive choices for an ambiguous utterance."
